                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9603,                 3.5378,                 1.8772,                 1.8349,                 8.0152,                 1.7514,                0.43012,                0.51899,                0.43101,                0.20444,                 1.7944,                 1.9281,                 1.7557,                 1.7408,                 2.1094,                 1.7358,              0.0033256,              0.0033256,              0.0033256
                      2,                 1.8171,                 1.9132,                 1.6726,                 1.8534,                 2.1203,                 1.6522,                0.47644,                0.47568,                0.44477,                0.19242,                    1.9,                 1.9092,                 1.8952,                 1.9083,                 2.0842,                 1.8486,              0.0066369,              0.0066369,              0.0066369
                      3,                  1.901,                 2.0133,                 1.7399,                 1.9284,                   2.29,                 1.7294,                0.49804,                0.33566,                0.31882,                 0.1254,                 2.0506,                 2.6946,                 2.0621,                 1.9758,                 3.2008,                 1.9796,              0.0099263,              0.0099263,              0.0099263
                      4,                 1.9614,                 2.0827,                 1.7929,                 1.9691,                 2.4049,                 1.7728,                 0.4255,                0.42894,                0.39122,                0.16295,                 1.9886,                 2.2113,                 1.9554,                  1.994,                  2.488,                 1.9703,               0.009901,               0.009901,               0.009901
                      5,                 1.9173,                 1.9518,                 1.7788,                  1.926,                 2.2624,                  1.744,                0.40931,                0.52599,                0.45144,                 0.2105,                 1.8562,                 1.9932,                 1.8815,                 1.8903,                 2.1749,                 1.9016,               0.009901,               0.009901,               0.009901
                      6,                 1.8589,                 1.8567,                 1.7271,                  1.888,                 2.1272,                 1.6952,                0.51409,                 0.5182,                0.50612,                0.24494,                 1.8288,                 1.7568,                  1.818,                 1.8152,                 1.9732,                  1.796,               0.009868,               0.009868,               0.009868
                      7,                 1.8259,                 1.7515,                 1.6956,                 1.8309,                 2.0371,                 1.6554,                0.57234,                0.57397,                0.57726,                0.27254,                  1.759,                 1.6099,                  1.813,                 1.7993,                  1.784,                 1.7925,               0.009835,               0.009835,               0.009835
                      8,                 1.7878,                 1.6719,                 1.6743,                 1.8186,                 1.9354,                 1.6533,                0.57266,                0.58628,                0.57755,                0.28467,                 1.7642,                 1.5575,                 1.7969,                 1.7406,                 1.6986,                 1.7801,               0.009802,               0.009802,               0.009802
                      9,                   1.78,                   1.65,                 1.6606,                 1.8165,                 1.9033,                 1.6466,                0.60784,                0.60154,                 0.6053,                 0.3065,                 1.7033,                 1.4769,                 1.7389,                 1.7365,                 1.6232,                 1.7459,               0.009769,               0.009769,               0.009769
                     10,                 1.7529,                 1.5892,                 1.6526,                  1.797,                 1.7934,                 1.6399,                 0.6103,                0.65935,                0.65179,                0.33668,                 1.7145,                  1.441,                  1.767,                 1.7558,                 1.4657,                 1.7855,               0.009736,               0.009736,               0.009736
                     11,                 1.7238,                 1.5158,                 1.6133,                 1.7818,                 1.7206,                 1.6093,                0.59935,                0.63557,                0.63326,                0.33494,                 1.6579,                 1.3839,                 1.6702,                 1.6926,                 1.4915,                 1.6944,               0.009703,               0.009703,               0.009703
                     12,                 1.6953,                  1.485,                 1.5978,                 1.7472,                 1.6975,                 1.5913,                0.62579,                0.66126,                0.65769,                0.33798,                 1.6813,                 1.4004,                 1.7251,                 1.6884,                 1.5041,                 1.7119,                0.00967,                0.00967,                0.00967
