                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0114,                 3.4653,                 1.8818,                0.49645,                0.44256,                0.43462,                0.18929,                 1.8838,                 1.8479,                 1.8365,              0.0033256,              0.0033256,              0.0033256
                      2,                 1.7967,                 1.8693,                 1.6452,                 0.4947,                 0.5128,                0.53133,                 0.2497,                 1.8673,                 1.9642,                 1.8599,              0.0066369,              0.0066369,              0.0066369
                      3,                 1.8664,                 1.8955,                 1.6943,                0.38156,                0.35818,                0.30692,                0.12172,                 2.0983,                 2.2199,                 1.9841,              0.0099263,              0.0099263,              0.0099263
                      4,                 1.8973,                 1.9565,                 1.7411,                0.51597,                0.43393,                0.46515,                0.19983,                 1.9811,                 2.0663,                 1.9299,               0.009901,               0.009901,               0.009901
                      5,                 1.8791,                 1.8556,                 1.7155,                0.51012,                0.61391,                0.56159,                0.25902,                 1.8394,                 1.7392,                 1.8595,               0.009901,               0.009901,               0.009901
                      6,                 1.8349,                  1.765,                  1.684,                0.58175,                0.61008,                0.58923,                0.28594,                 1.8141,                  1.594,                 1.8067,               0.009868,               0.009868,               0.009868
                      7,                 1.7886,                 1.6649,                 1.6449,                 0.5714,                0.59136,                0.57469,                0.25836,                 1.9383,                 1.6422,                 1.8891,               0.009835,               0.009835,               0.009835
                      8,                  1.769,                 1.6223,                 1.6408,                0.63824,                0.69769,                0.69688,                0.36798,                 1.6867,                 1.4262,                 1.7231,               0.009802,               0.009802,               0.009802
                      9,                 1.7451,                 1.5876,                 1.6245,                0.71133,                0.65952,                0.71346,                0.36718,                 1.7376,                 1.4274,                 1.7306,               0.009769,               0.009769,               0.009769
                     10,                 1.7312,                 1.5353,                 1.6258,                0.67704,                0.65991,                0.70108,                0.35529,                 1.7126,                 1.4117,                 1.7662,               0.009736,               0.009736,               0.009736
                     11,                 1.6922,                 1.5024,                  1.593,                0.69078,                 0.6631,                0.70299,                0.33944,                 1.8019,                 1.3992,                 1.7678,               0.009703,               0.009703,               0.009703
                     12,                 1.6849,                  1.459,                 1.5868,                0.73983,                0.72797,                0.75763,                0.39423,                 1.6549,                 1.2724,                 1.7126,                0.00967,                0.00967,                0.00967
                     13,                 1.6577,                 1.4102,                 1.5618,                0.71497,                 0.7398,                0.77698,                0.43896,                 1.5788,                 1.2415,                 1.6403,               0.009637,               0.009637,               0.009637
                     14,                 1.6576,                 1.3817,                  1.561,                0.73174,                0.71813,                0.75434,                0.39284,                 1.6549,                  1.263,                 1.6752,               0.009604,               0.009604,               0.009604
                     15,                 1.6251,                 1.3614,                  1.534,                0.75816,                 0.7093,                0.77181,                0.41255,                 1.6654,                 1.2152,                 1.6688,               0.009571,               0.009571,               0.009571
                     16,                 1.6197,                 1.3247,                 1.5301,                0.76076,                0.77243,                0.81623,                0.45793,                 1.5789,                 1.1425,                 1.6273,               0.009538,               0.009538,               0.009538
                     17,                 1.5977,                  1.297,                 1.5168,                0.81744,                0.71065,                 0.7863,                0.43516,                 1.6044,                 1.1713,                 1.6422,               0.009505,               0.009505,               0.009505
                     18,                 1.5919,                 1.2873,                 1.5197,                 0.7252,                 0.7474,                0.80342,                0.44872,                 1.5591,                 1.1194,                 1.5953,               0.009472,               0.009472,               0.009472
                     19,                 1.5751,                 1.2645,                 1.4993,                0.76603,                0.76733,                0.81171,                0.46101,                 1.5527,                 1.1026,                 1.5999,               0.009439,               0.009439,               0.009439
                     20,                 1.5652,                 1.2369,                 1.5031,                0.79824,                0.76871,                0.83405,                0.48869,                 1.5372,                 1.0547,                 1.5779,               0.009406,               0.009406,               0.009406
                     21,                 1.5481,                 1.2215,                 1.4816,                0.77838,                0.76997,                0.82116,                0.46681,                 1.5609,                  1.084,                 1.6082,               0.009373,               0.009373,               0.009373
                     22,                 1.5298,                 1.1902,                 1.4743,                0.78407,                0.79588,                0.82593,                 0.4745,                  1.549,                 1.0448,                 1.5976,                0.00934,                0.00934,                0.00934
                     23,                 1.5374,                 1.1818,                  1.477,                0.80213,                0.77274,                 0.8238,                0.47372,                 1.5417,                 1.0375,                 1.5915,               0.009307,               0.009307,               0.009307
                     24,                 1.5184,                 1.1708,                 1.4666,                0.77585,                0.78804,                0.83353,                0.48311,                 1.5427,                 1.0244,                 1.5983,               0.009274,               0.009274,               0.009274
                     25,                 1.5097,                  1.161,                  1.459,                0.80232,                0.80783,                0.85284,                0.50358,                 1.4953,                0.97426,                 1.5419,               0.009241,               0.009241,               0.009241
                     26,                 1.5069,                 1.1405,                 1.4495,                0.79412,                0.78125,                0.83153,                 0.4761,                 1.5468,                 1.0029,                  1.584,               0.009208,               0.009208,               0.009208
                     27,                 1.5067,                 1.1475,                 1.4608,                0.80889,                0.79804,                0.84001,                0.48102,                 1.5331,                0.99282,                 1.5637,               0.009175,               0.009175,               0.009175
                     28,                 1.4896,                 1.1174,                 1.4321,                 0.7963,                0.82123,                0.84663,                0.49269,                 1.5062,                0.99396,                 1.5673,               0.009142,               0.009142,               0.009142
                     29,                 1.4856,                 1.0982,                 1.4345,                0.85845,                0.79428,                0.87022,                0.51753,                 1.4845,                0.95112,                 1.5455,               0.009109,               0.009109,               0.009109
                     30,                 1.4695,                  1.084,                 1.4323,                0.82696,                0.82226,                0.86997,                0.51196,                   1.49,                0.95313,                 1.5392,               0.009076,               0.009076,               0.009076
                     31,                 1.4733,                 1.0953,                 1.4302,                 0.8073,                0.79405,                0.85383,                0.52142,                 1.4575,                0.94346,                  1.526,               0.009043,               0.009043,               0.009043
                     32,                 1.4523,                 1.0627,                 1.4183,                 0.8307,                0.82397,                 0.8692,                0.52396,                 1.4671,                0.92218,                  1.507,                0.00901,                0.00901,                0.00901
                     33,                 1.4529,                   1.07,                 1.4252,                0.82938,                0.82315,                 0.8765,                0.53647,                 1.4451,                0.92099,                 1.5133,               0.008977,               0.008977,               0.008977
                     34,                 1.4532,                 1.0518,                 1.4162,                 0.8378,                0.80769,                0.87419,                0.52978,                  1.478,                0.90472,                 1.5208,               0.008944,               0.008944,               0.008944
                     35,                 1.4458,                 1.0579,                 1.4079,                0.84709,                0.81008,                0.88639,                0.53912,                 1.4413,                0.88736,                 1.5154,               0.008911,               0.008911,               0.008911
                     36,                 1.4299,                 1.0325,                 1.4009,                0.85221,                0.80493,                0.87413,                0.52536,                 1.4678,                0.91137,                  1.535,               0.008878,               0.008878,               0.008878
                     37,                 1.4157,                 1.0265,                 1.3918,                0.86342,                0.83157,                0.87923,                0.53981,                 1.4309,                0.86421,                 1.5041,               0.008845,               0.008845,               0.008845
                     38,                 1.4197,                  1.017,                 1.4016,                0.83614,                0.82608,                0.87521,                0.54504,                 1.4326,                0.88094,                 1.5022,               0.008812,               0.008812,               0.008812
                     39,                 1.4078,                0.99237,                 1.3811,                0.85807,                0.82544,                 0.8794,                0.53875,                 1.4348,                0.87124,                 1.5013,               0.008779,               0.008779,               0.008779
                     40,                 1.4114,                  1.001,                 1.3914,                0.86827,                0.84678,                0.89129,                0.54563,                 1.4213,                0.86002,                 1.4863,               0.008746,               0.008746,               0.008746
                     41,                  1.411,                 0.9914,                 1.3834,                0.84034,                0.85447,                 0.8884,                0.55448,                 1.4056,                0.85139,                 1.4759,               0.008713,               0.008713,               0.008713
                     42,                 1.3975,                0.98742,                 1.3711,                0.88533,                0.83129,                0.89423,                0.54787,                 1.4342,                0.83958,                 1.4773,                0.00868,                0.00868,                0.00868
                     43,                 1.3917,                0.98476,                 1.3719,                0.88274,                0.83014,                0.89286,                0.55379,                 1.4136,                0.82788,                 1.4818,               0.008647,               0.008647,               0.008647
                     44,                 1.3834,                0.96408,                 1.3682,                0.85738,                0.84153,                0.89419,                 0.5585,                 1.4143,                0.83561,                 1.4853,               0.008614,               0.008614,               0.008614
                     45,                 1.3751,                0.96432,                 1.3667,                0.89109,                0.84549,                0.89762,                0.56189,                 1.4153,                0.81993,                 1.4926,               0.008581,               0.008581,               0.008581
                     46,                 1.3682,                0.94347,                 1.3647,                0.87873,                0.86055,                0.90174,                0.55172,                 1.4135,                0.81185,                 1.4792,               0.008548,               0.008548,               0.008548
                     47,                 1.3673,                0.94321,                 1.3586,                0.85647,                0.86271,                 0.9022,                 0.5665,                 1.4119,                0.80753,                 1.4601,               0.008515,               0.008515,               0.008515
                     48,                 1.3753,                 0.9404,                  1.359,                0.88229,                0.84325,                0.90308,                0.56575,                 1.4107,                0.80513,                 1.4782,               0.008482,               0.008482,               0.008482
                     49,                 1.3642,                0.93034,                 1.3508,                0.85393,                0.87226,                0.89729,                 0.5706,                 1.4024,                0.78743,                 1.4774,               0.008449,               0.008449,               0.008449
